fid,category,gewas,gewascode,jaar,status,GDB_GEOMAT,layer,path,z_mean,mergedcrop,Z_DSM_mean,compaction,slope_mean,count_pix,sum,mean
1,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.02937782,4.820348427,-0.02937782,3.426666667,0.338052028,12048,5871.927964,0.487377819
2,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-1.216046933,7.305842306,-1.216046933,3.914529915,0.246159281,18265,30576.46677,1.674046908
4,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.565374342,0.060164767,-0.565374342,4,0.541877855,151,154.5306678,1.023381906
5,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.062384816,2.365293239,0.062384816,4,0.238414169,5916,2340.561951,0.395632514
7,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.59383357,2.058630605,0.59383357,5,0.661668101,5142,-697.831373,-0.135712052
8,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.464449564,4.642843102,0.464449564,28.24324324,0.389726478,11598,-74.54286994,-0.006427218
9,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.266768332,7.300850158,-0.266768332,4,0.323926084,18245,13223.39808,0.724768324
10,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.027582422,3.181256303,0.027582422,3.942307692,0.961962923,7953,3440.795172,0.432641163
11,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.474151895,0.104337981,0.474151895,49.67443636,5.520016732,261,-4.188885179,-0.016049369
12,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.543935994,2.065516207,-0.543935994,3,0.312870338,5161,5170.995609,1.001936758
13,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.730133095,11.96989459,-0.730133095,3.850515464,0.338055033,29922,37568.9216,1.255561848
14,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.906602731,7.723397738,0.906602731,3,0.330352303,19309,-8662.040045,-0.448601173
15,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.179725887,4.083340865,0.179725887,4,0.334459866,10207,2841.160341,0.278354104
17,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.285186792,10.08298674,0.285186792,3.963190184,0.566383537,25204,4355.842645,0.172823466
18,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.02498867,7.208903916,0.02498867,3.313043478,0.726400894,18022,7929.517455,0.439990981
19,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.962563449,2.640394355,-0.962563449,4,0.557571242,6601,9618.128896,1.457071489
